candidate_id,n,h,d,k,a,w,q,keygen_us_median,keygen_us_p95,keygen_us_stddev,sign_us_median,sign_us_p95,sign_us_stddev,verify_us_median,verify_us_p95,verify_us_stddev,pk_bytes,sk_bytes,sig_bytes,trace_calls,trace_lanes,witness_rows,proof_bytes,proof_magic,proof_version,preprocess_ms_median,preprocess_ms_p95,preprocess_ms_stddev,prove_core_ms_median,prove_core_ms_p95,prove_core_ms_stddev,prove_e2e_ms_median,prove_e2e_ms_p95,prove_e2e_ms_stddev,stark_verify_ms_median,stark_verify_ms_p95,stark_verify_ms_stddev,status,error
9,16,60,6,14,10,16,65536,5975158.740,5975158.740,0.000,34229063.990,34229063.990,0.000,19105.230,19105.230,0.000,size:,size:,6800,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,ok,stark_disabled
41,16,60,6,22,6,16,65536,5506025.360,5506025.360,0.000,32652622.240,32652622.240,0.000,19274.780,19274.780,0.000,size:,size:,6800,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,ok,stark_disabled
2425,16,66,6,17,8,16,65536,10996403.620,10996403.620,0.000,66153005.170,66153005.170,0.000,18860.920,18860.920,0.000,size:,size:,6880,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,ok,stark_disabled
13,16,60,6,14,12,16,65536,5408936.490,5408936.490,0.000,34348821.500,34348821.500,0.000,18662.730,18662.730,0.000,size:,size:,7248,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,ok,stark_disabled
29,16,60,6,17,10,16,65536,5482876.050,5482876.050,0.000,33461010.710,33461010.710,0.000,18508.730,18508.730,0.000,size:,size:,7328,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,ok,stark_disabled
2429,16,66,6,17,10,16,65536,10927773.700,10927773.700,0.000,67078183.710,67078183.710,0.000,21394.300,21394.300,0.000,size:,size:,7424,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,ok,stark_disabled
61,16,60,6,33,6,16,65536,5490743.910,5490743.910,0.000,32833709.910,32833709.910,0.000,18635.530,18635.530,0.000,size:,size:,8032,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,ok,stark_disabled
53,16,60,6,22,12,16,65536,5511152.260,5511152.260,0.000,35214302.910,35214302.910,0.000,21159.650,21159.650,0.000,size:,size:,8912,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,ok,stark_disabled
2453,16,66,6,22,12,16,65536,10896035.610,10896035.610,0.000,68102277.360,68102277.360,0.000,20650.810,20650.810,0.000,size:,size:,9008,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,ok,stark_disabled
2465,16,66,6,33,8,16,65536,10900798.830,10900798.830,0.000,65544762.630,65544762.630,0.000,19464.410,19464.410,0.000,size:,size:,9184,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,ok,stark_disabled
