candidate_id,n,h,d,k,a,w,q,tree_height,tree_bits,leaf_bits,wots_logw,wots_len1,wots_len2,wots_len,fors_msg_bits,fors_msg_bytes,hmsg_needed_bytes,pk_bytes,sk_bytes,sig_bytes,struct_pass,reject_reason
3,16,60,6,14,6,256,65536,10,50,10,8,16,2,18,84,11,20,32,64,4272,1,
4,16,60,6,14,6,256,1048576,10,50,10,8,16,2,18,84,11,20,32,64,4272,1,
2403,16,66,6,14,6,256,65536,11,55,11,8,16,2,18,84,11,20,32,64,4368,1,
2404,16,66,6,14,6,256,1048576,11,55,11,8,16,2,18,84,11,20,32,64,4368,1,
23,16,60,6,17,6,256,65536,10,50,10,8,16,2,18,102,13,22,32,64,4608,1,
24,16,60,6,17,6,256,1048576,10,50,10,8,16,2,18,102,13,22,32,64,4608,1,
1283,16,63,7,14,6,256,65536,9,54,9,8,16,2,18,84,11,20,32,64,4608,1,
1284,16,63,7,14,6,256,1048576,9,54,9,8,16,2,18,84,11,20,32,64,4608,1,
2423,16,66,6,17,6,256,65536,11,55,11,8,16,2,18,102,13,22,32,64,4704,1,
2424,16,66,6,17,6,256,1048576,11,55,11,8,16,2,18,102,13,22,32,64,4704,1,
7,16,60,6,14,8,256,65536,10,50,10,8,16,2,18,112,14,23,32,64,4720,1,
8,16,60,6,14,8,256,1048576,10,50,10,8,16,2,18,112,14,23,32,64,4720,1,
2407,16,66,6,14,8,256,65536,11,55,11,8,16,2,18,112,14,23,32,64,4816,1,
2408,16,66,6,14,8,256,1048576,11,55,11,8,16,2,18,112,14,23,32,64,4816,1,
1763,16,64,8,14,6,256,65536,8,56,8,8,16,2,18,84,11,19,32,64,4912,1,
1764,16,64,8,14,6,256,1048576,8,56,8,8,16,2,18,84,11,19,32,64,4912,1,
1303,16,63,7,17,6,256,65536,9,54,9,8,16,2,18,102,13,22,32,64,4944,1,
1304,16,63,7,17,6,256,1048576,9,54,9,8,16,2,18,102,13,22,32,64,4944,1,
1287,16,63,7,14,8,256,65536,9,54,9,8,16,2,18,112,14,23,32,64,5056,1,
1288,16,63,7,14,8,256,1048576,9,54,9,8,16,2,18,112,14,23,32,64,5056,1,
27,16,60,6,17,8,256,65536,10,50,10,8,16,2,18,136,17,26,32,64,5152,1,
28,16,60,6,17,8,256,1048576,10,50,10,8,16,2,18,136,17,26,32,64,5152,1,
11,16,60,6,14,10,256,65536,10,50,10,8,16,2,18,140,18,27,32,64,5168,1,
12,16,60,6,14,10,256,1048576,10,50,10,8,16,2,18,140,18,27,32,64,5168,1,
43,16,60,6,22,6,256,65536,10,50,10,8,16,2,18,132,17,26,32,64,5168,1,
44,16,60,6,22,6,256,1048576,10,50,10,8,16,2,18,132,17,26,32,64,5168,1,
1783,16,64,8,17,6,256,65536,8,56,8,8,16,2,18,102,13,21,32,64,5248,1,
1784,16,64,8,17,6,256,1048576,8,56,8,8,16,2,18,102,13,21,32,64,5248,1,
2427,16,66,6,17,8,256,65536,11,55,11,8,16,2,18,136,17,26,32,64,5248,1,
2428,16,66,6,17,8,256,1048576,11,55,11,8,16,2,18,136,17,26,32,64,5248,1,
2411,16,66,6,14,10,256,65536,11,55,11,8,16,2,18,140,18,27,32,64,5264,1,
2412,16,66,6,14,10,256,1048576,11,55,11,8,16,2,18,140,18,27,32,64,5264,1,
